ags	source_page_left	source_row	left_ocr	left_pdf	right_ocr	right_pdf	method
01001000	18	1	01 000	01 000	01 000	01 000	source_code_matches_registry
01002000	18	2	02 000	02 000	02 000	02 000	source_code_matches_registry
01003000	18	3	°03 000	. 03 000	03 000	03 000	source_code_matches_registry
01004000	18	4	04 000	0~ 000	04 000	04 000	source_code_matches_registry
01051001	18	5	51 001	51 001	51 001	51 001	source_code_matches_registry
01051002	18	6	51 002	51 002	51 002	51 002	source_code_matches_registry
01051003	18	7	51 003	51 003	51 003	51 003	source_code_matches_registry
01051004	18	8	51 004	51 004	51 004	51 004	source_code_matches_registry
01051005	18	9	51 005	51 005	51 005	51 005	source_code_matches_registry
01051006	18	10	51 C06	51 006	51 006	51 006	source_code_matches_registry
01051008	18	11	51 008	51 008	51 608	51 (i08	source_code_matches_registry
01051010	18	12	51 610	51 010	51 010	51 010	source_code_matches_registry
01051011	18	13	51 011	51 011	51 011	51 011	source_code_matches_registry
01051012	18	14	51 012	51 012	51 012	51 012	source_code_matches_registry
01051013	18	15	51 013	51 C'13	51 013	51 013	source_code_matches_registry
01051014	18	16	571 014	51 014	51 014	51 OH	source_code_matches_registry
01051015	18	17	51 €15	51 C15	51 015	51 015	source_code_matches_registry
01051016	18	18	- 51 016	51 016	51 016	51 016	source_code_matches_registry
01051017	18	19	51 017	51 017	51 017	51 017	source_code_matches_registry
01051019	18	20	51 019	51 019	51 019	51 019	source_code_matches_registry
01051020	18	21	57 020	51 020	51 020	51 020	source_code_matches_registry
01051021	18	22	"""57 621"	51 021	51 021	51 021	source_code_matches_registry
01051022	18	23	54 022	51 022	51 O22	51 022	source_code_matches_registry
01051023	18	24	51 023	51 023	514 023	51 023	source_code_matches_registry
01051024	18	25	51 024	51 024	51 024	51 024	source_code_matches_registry
01051026	20	1	51 026	51 026	51 026	51 026	source_code_matches_registry
01051027	20	2	51 027	51 027	51 027	51 027	source_code_matches_registry
01051028	20	3	51 028.	51 028	51 028	51 028	source_code_matches_registry
01051030	20	4	. 51 030	51 030	51 030	51 030	source_code_matches_registry
01051032	20	5	51 032	51 032	51 032	51 032	source_code_matches_registry
01051033	20	6	51 033	51 033	51 033	51 033	source_code_matches_registry
01051034	20	7	51 C34.	51 C34	51 034	51 034	source_code_matches_registry
01051035	20	8	51 035	51 035	51 035	51 035	source_code_matches_registry
01051036	20	9	51 036	51 036	51 036	51 036	source_code_matches_registry
01051037	20	10	51 037	51 037	51 037	51 037	source_code_matches_registry
01051038	20	11	51 038	51 038	51 C38	51 C38	source_code_matches_registry
01051039	20	12	541 039	51 039	51 039	51 039	source_code_matches_registry
01051040	20	13	51 040	51 040	51 040	51 OltO	source_code_matches_registry
01051043	20	14	51 043	51 043	51 043	51 043	source_code_matches_registry
01051044	20	15	51 044	51 044	51 044	51 044	source_code_matches_registry
01051045	20	16	51 045	51 045	51 045	51 045	source_code_matches_registry
01051046	20	17	51 046	51 046	51 046	51 046	source_code_matches_registry
01051047	20	18	51 047	51 047	51 047	51 047	source_code_matches_registry
01051048	20	19	51 G42	51 C48	51 048	51 048	source_code_matches_registry
01051049	20	20	51 049	51 049	51 049	51 049	source_code_matches_registry
01051050	20	21	51 0590	51 050	51 050	51 050	source_code_matches_registry
01051051	20	22	51 C51.	51 051	51 051	51 051	source_code_matches_registry
01051052	20	23	51 C52	51 052	51 052	51 052	source_code_matches_registry
01051053	20	24	51 053	51 053	51 053	51 053	source_code_matches_registry
01051054	20	25	51 054	51 054	51 054	51 054	source_code_matches_registry
01051057	22	1	51 057	51 057	51 057	51 057	source_code_matches_registry
01051058	22	2	51 058	51 058	51 058	51 058	source_code_matches_registry
01051060	22	3	51 060.	51 060	51 060	51 060	source_code_matches_registry
01051061	22	4	51 0617	51 061	51 061	51 061	source_code_matches_registry
01051062	22	5	51 062	51 062	51 062	51 062	source_code_matches_registry
01051063	22	6	51 C63	51 C63	51 063	51 063	source_code_matches_registry
01051064	22	7	51 064	51 064 KU	51 064	51 064	source_code_matches_registry
01051065	22	8	51 065	51 065	51 065	51 065	source_code_matches_registry
01051067	22	9	51 067	51 067	51 067	51 06,7	source_code_matches_registry
01051068	22	10	51 C68	51 C68	51 068	51 068	source_code_matches_registry
01051069	22	11	51 069	51 069	51 069	51 069	source_code_matches_registry
01051071	22	12	51 071	51 071	51 071	51 071	source_code_matches_registry
01051072	22	13	51 072	51 072	51 072	51 072	source_code_matches_registry
01051073	22	14	51 073	51 073	51 073	51 073	source_code_matches_registry
01051074	22	15	51 074	51 074	51 074	51 074	source_code_matches_registry
01051075	22	16	51 075	51 075	51 075	51 075	source_code_matches_registry
01051076	22	17	51 076	51 076	51 076	51 076	source_code_matches_registry
01051077	22	18	51 077	51 077	51 077	51 077	source_code_matches_registry
01051078	22	19	51 078	51 078	51 078	51 078	source_code_matches_registry
01051079	22	20	51.079	51 079	51 079:	51 079.·	source_code_matches_registry
01051080	22	21	51 C80	51 080	51 080	51 080	source_code_matches_registry
01051081	22	22	51 081	51 081	51 081	51 081	source_code_matches_registry
01051082	22	23	51 082	51 082	51 082	51 0112	source_code_matches_registry
01051083	22	24	51 083	51 083	51 083	51 083	source_code_matches_registry
01051084	22	25	51 084	51 084	51 084	51 084	source_code_matches_registry
01051085	24	1	51 085	51 085	4 085	085	source_code_matches_registry
01051086	24	2	51 086	51 086	1 086	1 086	source_code_matches_registry
01051087	24	3	51 087.	51 ('87.	1 087	087	source_code_matches_registry
01051088	24	4	51 G88	51 C88	1 088	088	source_code_matches_registry
01051089	24	5	51 089	51 089	1 089	089	source_code_matches_registry
01051090	24	6	51 C90	51 (90	1 690	090	source_code_matches_registry
01051092	24	7	51 a92	51 (l'l2	1 092	092	visual
01051093	24	8	51 693	51 093	4 093	1 093	source_code_matches_registry
01051096	24	9	51 C96	51 C96	1 096	096	source_code_matches_registry
01051097	24	10	51 097	51 097	1 097	097	source_code_matches_registry
01051098	24	11	51 098	~1 098	1 098	098	source_code_matches_registry
01051099	24	12	51 C99	51 C99	1 099	099	source_code_matches_registry
01051100	24	13	51.100	51 100	51 100	100	source_code_matches_registry
01051102	24	14	51 102	51 102	1 102	1 102	source_code_matches_registry
01051103	24	15	51 103	51 103	51 103	103	source_code_matches_registry
01051104	24	16	51 104	51 104	51 104	1 104	source_code_matches_registry
01051105	24	17	51.165	51 105 S	51 105	105	source_code_matches_registry
01051107	24	18	E4407	~1 107	54 107	107	visual
01051108	24	19	51.108	51 108	51 108	1 OB	source_code_matches_registry
01051109	24	20	51.109	51 109	54 109	109	source_code_matches_registry
01051110	24	21	51.110	51 11 0	51 110	J>1 110	source_code_matches_registry
01051111	24	22	51.111	51 111	51 111	1>1 111	source_code_matches_registry
01051113	24	23	51.113	51 113	51 113	~1 113	source_code_matches_registry
01051114	24	24	51 114	51 114	51 114	~1 114	source_code_matches_registry
01051117	24	25	51.117	51 117	51 117	~1 117	source_code_matches_registry
01051118	26	1	51 118	51 118	51 118	51 118	source_code_matches_registry
01051119	26	2	51.119	51 119	51 119	51 119	source_code_matches_registry
01051120	26	3	51 420.	51 120	51 120	51 120	source_code_matches_registry
01051121	26	4	51 127	51 121	54 121	51 121	source_code_matches_registry
01051122	26	5	51 122	51 122	51 122	51 122	source_code_matches_registry
01051125	26	6	51.125	51 125	51 125	51 125	source_code_matches_registry
01051126	26	7	51126	51 1<'6	51 126	51 126	source_code_matches_registry
01051127	26	8	51.127	51 127	51 127	51 127	source_code_matches_registry
01051128	26	9	54 128	51 128	51 128	51 128	source_code_matches_registry
01051129	26	10	51 129	51 129	51 129	51 129	source_code_matches_registry
01051130	26	11	51.130	51 130	51 130	51 130	source_code_matches_registry
01051131	26	12	51.131	51 131	51 131	51 131	source_code_matches_registry
01051132	26	13	51.132	51 132	51 132	51 132	source_code_matches_registry
01051133	26	14	51 133	51 133	51 133	51 133	source_code_matches_registry
01051134	26	15	51 134	51 134	51 134	51 134	source_code_matches_registry
01051135	26	16	51 135	51 135	51 135	51 135	source_code_matches_registry
01051136	26	17	51.136	51 136	51 136	51 136	source_code_matches_registry
01051137	26	18	51 137	51 137	51 137	51 137	source_code_matches_registry
01051138	26	19	51 138	51 138	51 138	51 138	source_code_matches_registry
01051139	26	20	51 139	51 139	51 139	51 139	source_code_matches_registry
01051140	26	21	51140	51 140	51 140	51 140	source_code_matches_registry
01053001	28	1	53 001	53 001	53 001	53 001	source_code_matches_registry
01053002	28	2	53 CO2	53 0(,2	53 002	53 002	source_code_matches_registry
01053003	28	3	53 0C3.	53 003.	53 003	53 003	source_code_matches_registry
01053004	28	4	. 53 CC4	53 CC4	53 004	53 004	source_code_matches_registry
01053005	28	5	53 CC5	53 f<C5	53 005	53 005	source_code_matches_registry
01053006	28	6	53 CO6	53 006	53 C06	53 006	source_code_matches_registry
01053007	28	7	53 CO?	~3 007	53 007	53 007	source_code_matches_registry
01053008	28	8	53 CO8	53 C0°	53 008	53 008	source_code_matches_registry
01053009	28	9	53 0C9	53 OC9	53 009	53 009	source_code_matches_registry
01053010	28	10	53 010	53 01 n	53 010	53 010	source_code_matches_registry
01053011	28	11	53 G11	53 lJ11	53 011	53 011	source_code_matches_registry
01053012	28	12	53 012	53 012	53 012	53 012	source_code_matches_registry
01053013	28	13	53 613	53 (.13	53 013	53 013	source_code_matches_registry
01053014	28	14	53 014	53 014	53 014	53 014	source_code_matches_registry
01053015	28	15	&3 015	"""3 015"	53 015	53 015	source_code_matches_registry
01053016	28	16	53 Cté	~3 C16	53 016	53 016	source_code_matches_registry
01053017	28	17	53 017	53 017	53 017	53 017	source_code_matches_registry
01053018	28	18	53 C18	53 CH	53 018	53 018	source_code_matches_registry
01053019	28	19	53 G19	53	53 019	53 019	source_code_matches_registry
01053020	28	20	53 ¢20	53 t:20	53 020	53 020	source_code_matches_registry
01053021	28	21	53 021	53 021	53 021	53 021	source_code_matches_registry
01053022	28	22	53 022	53 022	53 022	53 022	source_code_matches_registry
01053023	28	23	53 023	53 023	53 023	53 023	source_code_matches_registry
01053024	28	24	53 024	53 024	53 024	53 024	source_code_matches_registry
01053025	28	25	53 025	53 ü25	53 025	53 025	source_code_matches_registry
01053026	30	1	53 C26	53 026	53 026	53 026	source_code_matches_registry
01053027	30	2	53 027	53 027	53 027	53 027	source_code_matches_registry
01053028	30	3	53 028 .	53 028	53 028	53 028	source_code_matches_registry
01053029	30	4	. 53 029	53 029	53 029	53 029	source_code_matches_registry
01053030	30	5	53 030	53 030	53 030	53 030	source_code_matches_registry
01053031	30	6	53 031	53 031	53 031	53 031	source_code_matches_registry
01053032	30	7	53 032	53 03<'	53 032	53 032	source_code_matches_registry
01053033	30	8	53 033	53 033	53 033	53 033	source_code_matches_registry
01053034	30	9	53 034	53 034	53 034	53 034	source_code_matches_registry
01053035	30	10	53 035	53 035	53 035	53 035	source_code_matches_registry
01053036	30	11	53 636	53 036	53 036	53 036	source_code_matches_registry
01053037	30	12	53 037	53 037	53 037	53 037	source_code_matches_registry
01053038	30	13	53 038	53 C38	53 038	53 038	source_code_matches_registry
01053039	30	14	53 039	53 ('39	53 039	53 039	source_code_matches_registry
01053040	30	15	53 040	53 040	53 640	53 040	source_code_matches_registry
01053041	30	16	53 041	53 G41	53 041	53 041	source_code_matches_registry
01053042	30	17	53 042	53 042	53 042	53 042	source_code_matches_registry
01053043	30	18	53 643.	53 C43	53 043	53 043	source_code_matches_registry
01053044	30	19	53 044	53 044	53 044	53 044	source_code_matches_registry
01053045	30	20	53 045	53 045	53 045	53 045	source_code_matches_registry
01053046	30	21	53 046	53 046	53 046	53 046	source_code_matches_registry
01053047	30	22	53 647	53 047	53 047	53 047	source_code_matches_registry
01053048	30	23	53 048	53 048	53 048	53 048	source_code_matches_registry
01053049	30	24	53 649	53 049	53 049	53 049	source_code_matches_registry
01053050	30	25	53 050	53 050	53 050	53 050	source_code_matches_registry
01053051	32	1	53 051	53 051	53 051	53 051	source_code_matches_registry
01053052	32	2	53 052	53 052	53 052	53 052	source_code_matches_registry
01053053	32	3	53 053.	53 053	53 053	53 053	source_code_matches_registry
01053054	32	4	53 054	53 054	53 054	53 054	source_code_matches_registry
01053056	32	5	53 056	53 056	53 G56	53 056	source_code_matches_registry
01053057	32	6	53 C57	53 C57	53 057	53 057	source_code_matches_registry
01053058	32	7	53 C58	53 058	53 C58	53 C58	source_code_matches_registry
01053059	32	8	53 C59	53 ('5<)	53 059	53 059	source_code_matches_registry
01053060	32	9	53 C60	53 06('	53 060	53 060	source_code_matches_registry
01053061	32	10	53 061	53 061	53 061	53 061	source_code_matches_registry
01053062	32	11	53 962	53 062	53 062	53 062	source_code_matches_registry
01053064	32	12	53 C64	53 C64	53 064	53 064	source_code_matches_registry
01053066	32	13	53 Gé6	53 066	53 066	53 066	source_code_matches_registry
01053067	32	14	53 C67	53 C67	53 067	53 067	source_code_matches_registry
01053068	32	15	53 068	53 Ob8	53 068	53 068	source_code_matches_registry
01053069	32	16	53 069	53 069	53 069	53 069	source_code_matches_registry
01053070	32	17	53 070	53 070	53 070	53 070	source_code_matches_registry
01053071	32	18	53 674	53 (,71	53 071	53 071	source_code_matches_registry
01053072	32	19	53 C72	53 l:72	53 072	53 072	source_code_matches_registry
01053073	32	20	53 G73	53 (;73	53 073	53 073	source_code_matches_registry
01053074	32	21	53 674	53 074	53 074	53 074	source_code_matches_registry
01053075	32	22	53 075	53 075	53 O75	53 075	source_code_matches_registry
01053076	32	23	53 076	53 076	53 076	53 076	source_code_matches_registry
01053077	32	24	53 077	53 077	53 077	53 077	source_code_matches_registry
01053078	32	25	53 G78	53 (;lf	53 078	53 078	source_code_matches_registry
01053079	34	1	53 079	53 079	53 079	53 079	source_code_matches_registry
01053080	34	2	53 080	53 080	53 080	53 080	source_code_matches_registry
01053081	34	3	53 081-	53 081	53 081	53 081	source_code_matches_registry
01053082	34	4	53 082	53 082	53 082	53 082	source_code_matches_registry
01053083	34	5	53 083	53 083	53 083	53 083	source_code_matches_registry
01053084	34	6	53 084	53 084	53 084	53 084	source_code_matches_registry
01053085	34	7	53 C85	53 ('85	53 085	53 085	source_code_matches_registry
01053086	34	8	. 53 086	53 086	53 086	53 086	source_code_matches_registry
01053087	34	9	53 C87	53 Ci87	53 087	53 087	source_code_matches_registry
01053088	34	10	53 088	53 088	53 088	53 08(1	source_code_matches_registry
01053089	34	11	53 089	53 089	53 089	53 089	source_code_matches_registry
01053090	34	12	53 099	53 09:>	53 090	53 090	source_code_matches_registry
01053091	34	13	53 091	53 (191	53 091	53 091	source_code_matches_registry
01053092	34	14	53 092	53 092	53 092	53 092	source_code_matches_registry
01053093	34	15	53 093	53 093	53 093	53 093	source_code_matches_registry
01053094	34	16	53 094	53 094	53 094	53 094	source_code_matches_registry
01053095	34	17	53 C95	53 (195	53 095	53 095	source_code_matches_registry
01053096	34	18	53 096	53 096	53 096	53 096	source_code_matches_registry
01053097	34	19	53 697	53 G97	53 097	53 097	source_code_matches_registry
01053098	34	20	53 098	53 098	53 098	53 098	source_code_matches_registry
01053099	34	21	53 099	53 099	53 099	53 099	source_code_matches_registry
01053100	34	22	§3 100	53 100	53 100	53 100	source_code_matches_registry
01053101	34	23	53 101	53 101	53 101	53 101	source_code_matches_registry
01053102	34	24	53 102	53 102	53 102	53 102	source_code_matches_registry
01053103	34	25	53 103	53 103	53 103	53 103	source_code_matches_registry
01053104	36	1	53 104	53 104	53 104	53 104	source_code_matches_registry
